variant,doc,gold,out,tp,P,R,F1,calls,repairs,prompt_tokens,completion_tokens,unresolved,unparsed,salvaged,merge_error,conforms,seconds
B,vignette_130,207,223,184,0.8251,0.8889,0.8558,14,3,54562,23040,0,1,0,False,False,335
B,vignette_134,485,627,133,0.2121,0.2742,0.2392,41,19,282264,85363,0,1,0,True,False,1044
B,vignette_141,496,575,280,0.487,0.5645,0.5229,33,12,180192,61444,0,1,0,True,False,783
B,vignette_143,627,667,372,0.5577,0.5933,0.575,51,22,341151,120276,0,2,0,True,False,1398
B,vignette_147,43,49,43,0.8776,1.0,0.9348,14,1,33162,4022,0,0,0,False,True,73
B,vignette_157,483,535,457,0.8542,0.9462,0.8978,19,2,101086,42524,0,0,0,True,False,595
B,vignette_158,472,504,410,0.8135,0.8686,0.8402,25,3,111201,42510,0,0,0,True,False,662
B,vignette_163,496,603,172,0.2852,0.3468,0.313,39,18,277847,98005,0,1,0,True,False,1100
B,vignette_170,207,227,203,0.8943,0.9807,0.9355,16,1,59724,21674,0,0,0,False,True,339
B,vignette_179,463,559,142,0.254,0.3067,0.2779,37,16,248972,78841,0,0,0,True,False,902
B,vignette_190,393,448,353,0.7879,0.8982,0.8395,22,7,113991,33428,0,0,0,True,False,531
B,vignette_193,404,559,381,0.6816,0.9431,0.7913,26,5,133522,45442,0,0,0,True,False,711
B,vignette_196,207,228,200,0.8772,0.9662,0.9195,15,2,65327,26148,0,0,0,False,False,430
C,vignette_001,32,37,32,0.8649,1.0,0.9275,16,3,36232,3804,0,1,0,False,True,61
C,vignette_004,130,142,123,0.8662,0.9462,0.9044,13,0,44158,12821,0,0,0,False,True,203
C,vignette_005,266,306,257,0.8399,0.9662,0.8986,18,3,77324,29652,0,0,0,False,True,460
C,vignette_017,384,419,369,0.8807,0.9609,0.9191,24,3,115226,40636,0,0,0,True,False,593
C,vignette_024,176,193,161,0.8342,0.9148,0.8726,14,1,49878,14461,0,0,0,False,True,243
C,vignette_025,296,294,198,0.6735,0.6689,0.6712,18,5,95199,34421,0,1,0,True,False,539
C,vignette_035,141,157,132,0.8408,0.9362,0.8859,15,2,47738,12773,0,0,0,False,True,212
C,vignette_058,117,121,29,0.2397,0.2479,0.2437,12,0,38801,11408,0,0,0,False,True,184
C,vignette_063,141,155,140,0.9032,0.9929,0.9459,11,0,39543,14177,0,0,0,False,True,242
C,vignette_067,108,120,107,0.8917,0.9907,0.9386,11,0,35990,10578,0,0,0,False,True,172
C,vignette_071,239,252,209,0.8294,0.8745,0.8513,14,1,65832,27659,0,0,0,False,False,442
C,vignette_075,32,37,32,0.8649,1.0,0.9275,14,1,34273,3446,0,0,0,False,True,54
C,vignette_088,117,130,117,0.9,1.0,0.9474,12,0,39100,11674,0,0,0,False,True,188
C,vignette_095,222,241,201,0.834,0.9054,0.8683,17,3,75395,26285,0,0,0,False,False,411
C,vignette_099,364,406,353,0.8695,0.9698,0.9169,17,2,81251,32881,0,0,0,True,False,473
C,vignette_110,417,376,123,0.3271,0.295,0.3102,23,8,130375,52301,0,1,0,True,False,782
